GSM3905407_BCH825_BCH825.P02.A01	GSM3905407_BCH825_BCH825.P02.A03	GSM3905407_BCH825_BCH825.P02.A05	GSM3905407_BCH825_BCH825.P02.A07	GSM3905407_BCH825_BCH825.P02.A08	GSM3905407_BCH825_BCH825.P02.A09	GSM3905407_BCH825_BCH825.P02.A10	GSM3905407_BCH825_BCH825.P02.A11	GSM3905407_BCH825_BCH825.P02.B01	GSM3905407_BCH825_BCH825.P02.B02	GSM3905407_BCH825_BCH825.P02.B03	GSM3905407_BCH825_BCH825.P02.B04	GSM3905407_BCH825_BCH825.P02.B05	GSM3905407_BCH825_BCH825.P02.B06	GSM3905407_BCH825_BCH825.P02.B07	GSM3905407_BCH825_BCH825.P02.B08	GSM3905407_BCH825_BCH825.P02.B11	GSM3905407_BCH825_BCH825.P02.B12	GSM3905407_BCH825_BCH825.P02.C02	GSM3905407_BCH825_BCH825.P02.C03	GSM3905407_BCH825_BCH825.P02.C05	GSM3905407_BCH825_BCH825.P02.C06	GSM3905407_BCH825_BCH825.P02.C09	GSM3905407_BCH825_BCH825.P02.C10	GSM3905407_BCH825_BCH825.P02.C11	GSM3905407_BCH825_BCH825.P02.C12	GSM3905407_BCH825_BCH825.P02.D01	GSM3905407_BCH825_BCH825.P02.D03	GSM3905407_BCH825_BCH825.P02.D04	GSM3905407_BCH825_BCH825.P02.D05	GSM3905407_BCH825_BCH825.P02.D06	GSM3905407_BCH825_BCH825.P02.D07	GSM3905407_BCH825_BCH825.P02.D08	GSM3905407_BCH825_BCH825.P02.D09	GSM3905407_BCH825_BCH825.P02.D10	GSM3905407_BCH825_BCH825.P02.D11	GSM3905407_BCH825_BCH825.P02.D12	GSM3905407_BCH825_BCH825.P02.E01	GSM3905407_BCH825_BCH825.P02.E02	GSM3905407_BCH825_BCH825.P02.E05	GSM3905407_BCH825_BCH825.P02.E06	GSM3905407_BCH825_BCH825.P02.E07	GSM3905407_BCH825_BCH825.P02.E08	GSM3905407_BCH825_BCH825.P02.E09	GSM3905407_BCH825_BCH825.P02.E10	GSM3905407_BCH825_BCH825.P02.E11	GSM3905407_BCH825_BCH825.P02.E12	GSM3905407_BCH825_BCH825.P02.F01	GSM3905407_BCH825_BCH825.P02.F02	GSM3905407_BCH825_BCH825.P02.F03	GSM3905407_BCH825_BCH825.P02.F05	GSM3905407_BCH825_BCH825.P02.F06	GSM3905407_BCH825_BCH825.P02.F07	GSM3905407_BCH825_BCH825.P02.F08	GSM3905407_BCH825_BCH825.P02.F12	GSM3905407_BCH825_BCH825.P02.G01	GSM3905407_BCH825_BCH825.P02.G02	GSM3905407_BCH825_BCH825.P02.G05	GSM3905407_BCH825_BCH825.P02.G06	GSM3905407_BCH825_BCH825.P02.G09	GSM3905407_BCH825_BCH825.P02.G10	GSM3905407_BCH825_BCH825.P02.G11	GSM3905407_BCH825_BCH825.P02.G12	GSM3905407_BCH825_BCH825.P02.H04	GSM3905407_BCH825_BCH825.P02.H08	GSM3905407_BCH825_BCH825.P02.H09	GSM3905407_BCH825_BCH825.P02.H10	GSM3905407_BCH825_BCH825.P02.H12	GSM3905407_BCH825_BCH825.P06.A02	GSM3905407_BCH825_BCH825.P06.A03	GSM3905407_BCH825_BCH825.P06.A04	GSM3905407_BCH825_BCH825.P06.A05	GSM3905407_BCH825_BCH825.P06.A06	GSM3905407_BCH825_BCH825.P06.A07	GSM3905407_BCH825_BCH825.P06.A08	GSM3905407_BCH825_BCH825.P06.A09	GSM3905407_BCH825_BCH825.P06.A10	GSM3905407_BCH825_BCH825.P06.B01	GSM3905407_BCH825_BCH825.P06.B02	GSM3905407_BCH825_BCH825.P06.B03	GSM3905407_BCH825_BCH825.P06.B04	GSM3905407_BCH825_BCH825.P06.B05	GSM3905407_BCH825_BCH825.P06.B06	GSM3905407_BCH825_BCH825.P06.B07	GSM3905407_BCH825_BCH825.P06.B08	GSM3905407_BCH825_BCH825.P06.B09	GSM3905407_BCH825_BCH825.P06.B12	GSM3905407_BCH825_BCH825.P06.C04	GSM3905407_BCH825_BCH825.P06.C05	GSM3905407_BCH825_BCH825.P06.C07	GSM3905407_BCH825_BCH825.P06.C08	GSM3905407_BCH825_BCH825.P06.C09	GSM3905407_BCH825_BCH825.P06.D04	GSM3905407_BCH825_BCH825.P06.D06	GSM3905407_BCH825_BCH825.P06.D07	GSM3905407_BCH825_BCH825.P06.D08	GSM3905407_BCH825_BCH825.P06.D09	GSM3905407_BCH825_BCH825.P06.D12	GSM3905407_BCH825_BCH825.P06.E01	GSM3905407_BCH825_BCH825.P06.E03
ENSG00000185664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170345	8.26	8.131	6.213	9.568	5.902	5.879	3.294	4.631	5.929	7.218	5.426	0	0	2.058	4.535	7.443	6.587	4.954	7.396	0	6.238	0	0	7.934	7.528	7.338	0	5.642	7.952	6.616	9.55	0	8.764	0	7.063	8.285	6.724	5.28	10.293	5.148	8.331	0	0.978	7.66	4.132	7.781	6.324	7.248	5.45	4.762	8.115	6.205	6.799	4.633	0	7.464	0	0	6.647	5.802	5.926	8.654	5.396	0	4.985	0	4.365	6.37	7.899	4.423	0	4.866	0	7.858	2.045	6.042	8.828	6.606	6.359	3.085	7.354	1.722	7.225	8.87	6.546	0	4.538	5.428	1.137	7.246	6.666	0	6.661	6.293	0	5.037	8.298	0	8.948	7.832
ENSG00000185885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087494	0	0	0	0	0	0	0	0	0	0	0	7.635	0	0	0	0	4.588	0	0	0	0	0	0	0	0	5.625	0	0	0	0	0	0	0	0	3.639	0	0	0	0	5.324	0	0	0	0	0	0	3.679	0	4.978	0	0	0	0	0	0	0	0	0	0	0	0	0	5.547	0	0	0	0	0	0	0	0	0	0	0	5.231	0	0	0	0	4.814	0	0	5.293	0	7.285	2.381	0	0	0	0	0	0	0	6.509	5.258	0	0	0	0	0
ENSG00000107984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
